time,target,loss,issue,url,description,,,,,
2021/9/10,OpenSea,"$ 100,000",System vulnerabilities,http://chainb.com/?P=Cont&id=32317,"A vulnerability in NFT marketplace OpenSea resulted in at least 42 NFTs being sent to a burn address, worth at least $100,000. The issue was first raised by Nick Johnson, lead developer of the Ethereum Name Service (ENS), who noted that when he transferred an ENS domain name (in the form of an NFT), it was transferred to a burn address. This means it was accidentally sent to an uncontrolled address and can no longer be moved. Regarding the destroyed ENS domain name, Johnson said it was the first registered ENS domain name, called rilxxlir.eth, which was held by an ENS account when Johnson registered it with personal funds. In order to transfer the ENS domain name to his own account, he went to OpenSea to perform the transfer, only to find that it had been sent to a destruction address by mistake. Since Johnson is still the controller of the ENS domain name, he can still make changes, just cannot move the domain name. Johnson then received further reports from others who were similarly affected and compiled a list of 32 affected transactions involving 42 NFTs. Most NFTs use the ERC-721 standard, but a few use ERC-1155. He looked at the floor price of each NFT, which totaled about $100,000. Johnson claims that OpenSea has now fixed the vulnerability.",,,,,
2021/9/10,Akutar,$34 M,ether locked,https://blocksecteam.medium.com/how-akutar-nft-loses-34m-usd-60d6cb053dff,,,,,,
2022/4/21,NBA,,signature verification,https://blocksecteam.medium.com/how-to-verify-a-signature-in-a-wrong-way-the-associationnft-case-5a913e9b8a1d,,,,,,
2022/3/27,Revest,1e18 Rena tokens,ERC interface reentrancy,https://twitter.com/BlockSecTeam/status/1509544742723649537,,,,,,
2022/3/3,Treasure DAO,returned,free NFT,https://twitter.com/BlockSecTeam/status/1499321063372898304,,,,,,
2022/4/23,NBA,$34 M,signature verification,https://twitter.com/BlockSecTeam/status/1517769222365270017,,,,,,
2022/3/18,BYC,$270K,flash loan,https://twitter.com/BlockSecTeam/status/1504488061459398658,,,,,,
2022/2/3,HyperBears,,ERC interface reentrancy,https://blocksecteam.medium.com/when-safemint-becomes-unsafe-lessons-from-the-hypebears-security-incident-2965209bda2a,,,,,,
2022/2/18,x2y2,,delegate & upgradeable,https://tldr.tech/crypto/newsletter/2022-02-17,,,,,,
2022/1/28,Sandbox,remmediated,public burn,https://slowmist.medium.com/the-vulnerability-behind-the-sandbox-land-migration-2abf68933170,,,,,,
2022/1/17,CryptoBurger,$770K,public burn,https://twitter.com/CertiKCommunity/status/1482930661547782148,,,,,,
2022/4/27,BAYC,,unlimited mint,https://mirror.xyz/ninjak.eth/_buBOQflWtHDpLbg18Fp8zLe8AmLiPka2y-UhppK_u0,,,,,,
2022/1/17,CryptoBurger,,ERC interface reentrancy,https://medium.com/@cryptoburgernft/a-tough-day-for-crypto-burgers-b371da577c8b,,,,,,
2022/3/7,The idols,,ERC interface reentrancy,https://docs.google.com/document/d/1FfeF-epgBUwZBhdwMQ_rtvVjLtQ8f09pukSmZZ-GsI8/edit,,,,,,
2022/7/10,OMNI,"1,300ETH",ERC interface reentrancy,https://www.tehparadox.net/cryptocurrency-news/2761829-nft-protocol-omni-suffers-reentrancy-attack-loses-1-300-eth-in-testing-funds.html,,,,,,
2022/2/3,OpenSea Wyvern,,proxy,https://twitter.com/0xQuit/status/1488908463669350400,,,,,,
,Hashmasks,,ERC interface reentrancy,https://samczsun.com/the-dangers-of-surprising-code/,,,,,,
,ENS ,,ERC interface reentrancy,https://samczsun.com/the-dangers-of-surprising-code/,,,,,,
,SupDuck,,ERC interface reentrancy,https://learnblockchain.cn/article/2939,,,,,,
