IssueName,Paper,Conference/Journal/Onlie
Unprotected Ownership,"Hunting Vulnerable Smart Contracts via Graph
Embedding Based Bytecode Matching",TIFS
Mishandled Exceptions,An Ever-evolving Game: Evaluation of Real-world Attacks and Defenses in Ethereum Ecosystem,Security
call injection,An Ever-evolving Game: Evaluation of Real-world Attacks and Defenses in Ethereum Ecosystem,Security
reentrancy,An Ever-evolving Game: Evaluation of Real-world Attacks and Defenses in Ethereum Ecosystem,Security
integer overflow,An Ever-evolving Game: Evaluation of Real-world Attacks and Defenses in Ethereum Ecosystem,Security
airdrop hunting,An Ever-evolving Game: Evaluation of Real-world Attacks and Defenses in Ethereum Ecosystem,Security
call-after-destruct,An Ever-evolving Game: Evaluation of Real-world Attacks and Defenses in Ethereum Ecosystem,Security
honeypot,Annotary: A Concolic Execution System for Developing Secure Smart Contracts,ESORICS
Over-/Underflow,Annotary: A Concolic Execution System for Developing Secure Smart Contracts,ESORICS
Struct cast to storage,Annotary: A Concolic Execution System for Developing Secure Smart Contracts,ESORICS
Misspelled constructor name,Annotary: A Concolic Execution System for Developing Secure Smart Contracts,ESORICS
Missing visibility modifier,Annotary: A Concolic Execution System for Developing Secure Smart Contracts,ESORICS
Memory layout missmatch with delgation,Annotary: A Concolic Execution System for Developing Secure Smart Contracts,ESORICS
Unmatched call forwarded to delegate,Annotary: A Concolic Execution System for Developing Secure Smart Contracts,ESORICS
Unset state (instanciated),Annotary: A Concolic Execution System for Developing Secure Smart Contracts,ESORICS
Unchecked send return,Annotary: A Concolic Execution System for Developing Secure Smart Contracts,ESORICS
Arithmetic mistace,Annotary: A Concolic Execution System for Developing Secure Smart Contracts,ESORICS
Trick transaction origin,Annotary: A Concolic Execution System for Developing Secure Smart Contracts,ESORICS
Unreachable state/code,Elysium: Context-Aware Bytecode-Level Patching to Automatically Heal Vulnerable Smart Contracts,RAID
Reentrancy,Elysium: Context-Aware Bytecode-Level Patching to Automatically Heal Vulnerable Smart Contracts,RAID
Access Control,Elysium: Context-Aware Bytecode-Level Patching to Automatically Heal Vulnerable Smart Contracts,RAID
Arithmetic,Elysium: Context-Aware Bytecode-Level Patching to Automatically Heal Vulnerable Smart Contracts,RAID
Unchecked Low Level Calls,Elysium: Context-Aware Bytecode-Level Patching to Automatically Heal Vulnerable Smart Contracts,RAID
Denial of Services,"Empirical review of automated analysis tools on 47, 578 Ethereum smart contracts",ICSE
Access Control,"Empirical review of automated analysis tools on 47, 579 Ethereum smart contracts",ICSE
Arithmetic,"Empirical review of automated analysis tools on 47, 580 Ethereum smart contracts",ICSE
Bad Randomness,"Empirical review of automated analysis tools on 47, 581 Ethereum smart contracts",ICSE
Denial of service,"Empirical review of automated analysis tools on 47, 582 Ethereum smart contracts",ICSE
Front running,"Empirical review of automated analysis tools on 47, 583 Ethereum smart contracts",ICSE
Reentrancy,"Empirical review of automated analysis tools on 47, 584 Ethereum smart contracts",ICSE
Short addresses,"Empirical review of automated analysis tools on 47, 585 Ethereum smart contracts",ICSE
Time manipulation,"Empirical review of automated analysis tools on 47, 586 Ethereum smart contracts",ICSE
Unchecked low level calls,EOSAFE: Security Analysis of EOSIO Smart Contracts,Security
Fake EOS,EOSAFE: Security Analysis of EOSIO Smart Contracts,Security
Fake Receipt,EOSAFE: Security Analysis of EOSIO Smart Contracts,Security
Rollback,EOSAFE: Security Analysis of EOSIO Smart Contracts,Security
Missing Permission Check,ETHBMC: A Bounded Model Checker for Smart Contracts,Security
Steal Ether,ETHBMC: A Bounded Model Checker for Smart Contracts,Security
Hijack,ETHBMC: A Bounded Model Checker for Smart Contracts,Security
Suicidal,Evil Under the Sun: Understanding and Discovering Attacks on Ethereum Decentralized Applications,Security
Bad randomness,Evil Under the Sun: Understanding and Discovering Attacks on Ethereum Decentralized Applications,Security
Denial of service,Evil Under the Sun: Understanding and Discovering Attacks on Ethereum Decentralized Applications,Security
Integer overflow and underflow,Evil Under the Sun: Understanding and Discovering Attacks on Ethereum Decentralized Applications,Security
Reentrancy,Evil Under the Sun: Understanding and Discovering Attacks on Ethereum Decentralized Applications,Security
Improper authentication,"ExGen: Cross-platform, Automated Exploit Generation for Smart Contract Vulnerabilities",TDSC
Overflow,"ExGen: Cross-platform, Automated Exploit Generation for Smart Contract Vulnerabilities",TDSC
Underflow,"ExGen: Cross-platform, Automated Exploit Generation for Smart Contract Vulnerabilities",TDSC
reentrancy,"ExGen: Cross-platform, Automated Exploit Generation for Smart Contract Vulnerabilities",TDSC
Suicidal,"ExGen: Cross-platform, Automated Exploit Generation for Smart Contract Vulnerabilities",TDSC
call injection,Fee-Free Pooled Mining for Countering Pool-Hopping Attack in Blockchain,TDSC
pool-hopping attack,"Finding The Greedy, Prodigal, and Suicidal Contracts at Scale",ACSAC
Prodigal,"Finding The Greedy, Prodigal, and Suicidal Contracts at Scale",ACSAC
Suicidal,"Finding The Greedy, Prodigal, and Suicidal Contracts at Scale",ACSAC
Greedy,Frontrunner Jones and the Raiders of the Dark Forest: An Empirical Study of Frontrunning on the Ethereum Blockchain,Security
Front-Running,"Gigahorse: thorough, declarative decompilation of smart contracts",ICSE
Unbounded Iteration,"Gigahorse: thorough, declarative decompilation of smart contracts",ICSE
Overflow Loop Iteration,"Gigahorse: thorough, declarative decompilation of smart contracts",ICSE
Wallet Griefing,Impact of Man-In-The-Middle Attacks on Ethereum,SRDS
man-in-the-middle attack,Impact of Man-In-The-Middle Attacks on Ethereum,SRDS
double spending attack,Incentives for Harvesting Attack in Proof of Work Mining Pools,ESORICS
pool harvesting attack,On the Routing-Aware Peering against Network-Eclipse Attacks in Bitcoin,Security
Erebus attack,Opportunistic Algorithmic Double-Spending: - How I Learned to Stop Worrying and Love the Fork,ESORICS
double spending attack,Oracle-Supported Dynamic Exploit Generation for Smart Contracts,TDSC
reentrancy,Oracle-Supported Dynamic Exploit Generation for Smart Contracts,TDSC
exception disorder,Oracle-Supported Dynamic Exploit Generation for Smart Contracts,TDSC
gasless send,Oracle-Supported Dynamic Exploit Generation for Smart Contracts,TDSC
integer overflow/underflow,Osiris: Hunting for Integer Bugs in Ethereum Smart Contracts,ACSAC
integer overflow/underflow,Osiris: Hunting for Integer Bugs in Ethereum Smart Contracts,ACSAC
Truncation Bugs,Osiris: Hunting for Integer Bugs in Ethereum Smart Contracts,ACSAC
Signedness Bugs,Penny Wise and Pound Foolish: Quantifying the Risk of Unlimited Approval of ERC20 Tokens on Ethereum,RAID
unlimited approval of ERC20 tokens,Practical Provably Secure Flooding for Blockchains,ASIACRYPT
eclipse attacks,Protect Your Smart Contract Against Unfair Payment,SRDS
Unfair Payment,sFuzz: an efficient adaptive fuzzer for solidity smart contracts,ICSE
Gasless Send,sFuzz: an efficient adaptive fuzzer for solidity smart contracts,ICSE
Exception Disorder,sFuzz: an efficient adaptive fuzzer for solidity smart contracts,ICSE
Reentrancy,sFuzz: an efficient adaptive fuzzer for solidity smart contracts,ICSE
Timestamp Dependency,sFuzz: an efficient adaptive fuzzer for solidity smart contracts,ICSE
Block Number Dependency,sFuzz: an efficient adaptive fuzzer for solidity smart contracts,ICSE
Dangerous DelegateCall,sFuzz: an efficient adaptive fuzzer for solidity smart contracts,ICSE
Integer Overflow,sFuzz: an efficient adaptive fuzzer for solidity smart contracts,ICSE
Integer Underflow,sFuzz: an efficient adaptive fuzzer for solidity smart contracts,ICSE
Freezing Ether,Smart Contract Vulnerabilities: Vulnerable Does Not Imply Exploited,Security
Re-Entrancy,Smart Contract Vulnerabilities: Vulnerable Does Not Imply Exploited,Security
Unhandled Exceptions,Smart Contract Vulnerabilities: Vulnerable Does Not Imply Exploited,Security
Locked Ether,Smart Contract Vulnerabilities: Vulnerable Does Not Imply Exploited,Security
Transaction Order Dependency,Smart Contract Vulnerabilities: Vulnerable Does Not Imply Exploited,Security
Integer Overflow,Smart Contract Vulnerabilities: Vulnerable Does Not Imply Exploited,Security
Unrestricted Action,SmarTest: Effectively Hunting Vulnerable Transaction Sequences in Smart Contracts through Language Model-Guided Symbolic Execution,Security
Integer Overflow/Underflow,SmarTest: Effectively Hunting Vulnerable Transaction Sequences in Smart Contracts through Language Model-Guided Symbolic Execution,Security
Division by Zero,SmarTest: Effectively Hunting Vulnerable Transaction Sequences in Smart Contracts through Language Model-Guided Symbolic Execution,Security
Assertion Violation,SmarTest: Effectively Hunting Vulnerable Transaction Sequences in Smart Contracts through Language Model-Guided Symbolic Execution,Security
ERC20 Standard Violation,The Art of The Scam: Demystifying Honeypots in Ethereum Smart Contracts,Security
Honeypots,The Balance Attack or Why Forkable Blockchains are Ill-Suited for Consortium,DSN
double spend,Towards a First Step to Understand the Cryptocurrency Stealing Attack on Ethereum,RAID
Honeypots,Trusted Computing Meets Blockchain: Rollback Attacks and a Solution for Hyperledger Fabric,SRDS
Rollback Attack,TXSPECTOR: Uncovering Attacks in Ethereum from Transactions,Security
Tx Order Dependence,TXSPECTOR: Uncovering Attacks in Ethereum from Transactions,Security
State Dependence,TXSPECTOR: Uncovering Attacks in Ethereum from Transactions,Security
Mishandled Exception,TXSPECTOR: Uncovering Attacks in Ethereum from Transactions,Security
Re-entrancy,TXSPECTOR: Uncovering Attacks in Ethereum from Transactions,Security
Restricted Transfer,TXSPECTOR: Uncovering Attacks in Ethereum from Transactions,Security
Failed Send,TXSPECTOR: Uncovering Attacks in Ethereum from Transactions,Security
Unsecured Balance,TXSPECTOR: Uncovering Attacks in Ethereum from Transactions,Security
Misuse-of-origin,TXSPECTOR: Uncovering Attacks in Ethereum from Transactions,Security
Integer Overflow,TXSPECTOR: Uncovering Attacks in Ethereum from Transactions,Security
Suicidal,TXSPECTOR: Uncovering Attacks in Ethereum from Transactions,Security
Denial-of-Service,Identifying Solidity Smart Contract API Documentation Errors,ASE
API Documentation Errors,Towards Effective Static Analysis Approaches for Security Vulnerabilities in Smart Contracts,ASE
Gas-Related Vulnerability,Towards Effective Static Analysis Approaches for Security Vulnerabilities in Smart Contracts,ASE
Access Control,Effectively Generating Vulnerable Transaction Sequences in Smart Contracts with Reinforcement Learning-guided Fuzzing,ASE
Ether Leaking,Effectively Generating Vulnerable Transaction Sequences in Smart Contracts with Reinforcement Learning-guided Fuzzing,ASE
Suicidal Contract,Effectively Generating Vulnerable Transaction Sequences in Smart Contracts with Reinforcement Learning-guided Fuzzing,ASE
Block State Dependency,Effectively Generating Vulnerable Transaction Sequences in Smart Contracts with Reinforcement Learning-guided Fuzzing,ASE
Unhandled Exception,Effectively Generating Vulnerable Transaction Sequences in Smart Contracts with Reinforcement Learning-guided Fuzzing,ASE
Dangerous Delegatecall,Effectively Generating Vulnerable Transaction Sequences in Smart Contracts with Reinforcement Learning-guided Fuzzing,ASE
Ether Frezzing,SMARTIAN: Enhancing Smart Contract Fuzzing with Static and Dynamic Data-Flow Analyses,ASE
Assertion Failure,SMARTIAN: Enhancing Smart Contract Fuzzing with Static and Dynamic Data-Flow Analyses,ASE
Arbitrary Write,SMARTIAN: Enhancing Smart Contract Fuzzing with Static and Dynamic Data-Flow Analyses,ASE
Block State Dependency,SMARTIAN: Enhancing Smart Contract Fuzzing with Static and Dynamic Data-Flow Analyses,ASE
Control-flow Hijack,SMARTIAN: Enhancing Smart Contract Fuzzing with Static and Dynamic Data-Flow Analyses,ASE
Ether Leak,SMARTIAN: Enhancing Smart Contract Fuzzing with Static and Dynamic Data-Flow Analyses,ASE
Freezing Ether,SMARTIAN: Enhancing Smart Contract Fuzzing with Static and Dynamic Data-Flow Analyses,ASE
Integer Bug,SMARTIAN: Enhancing Smart Contract Fuzzing with Static and Dynamic Data-Flow Analyses,ASE
Mishandled Exception,SMARTIAN: Enhancing Smart Contract Fuzzing with Static and Dynamic Data-Flow Analyses,ASE
Multiple Send,SMARTIAN: Enhancing Smart Contract Fuzzing with Static and Dynamic Data-Flow Analyses,ASE
Reentrancy,SMARTIAN: Enhancing Smart Contract Fuzzing with Static and Dynamic Data-Flow Analyses,ASE
Requirement Violation,SMARTIAN: Enhancing Smart Contract Fuzzing with Static and Dynamic Data-Flow Analyses,ASE
Suicidal Contract,SMARTIAN: Enhancing Smart Contract Fuzzing with Static and Dynamic Data-Flow Analyses,ASE
Tranasaction Origin Use,SmartBugs: A Framework to Analyze Solidity Smart Contracts,ASE
Access Control,SmartBugs: A Framework to Analyze Solidity Smart Contracts,ASE
Arithmetic,SmartBugs: A Framework to Analyze Solidity Smart Contracts,ASE
Bad Randomness,SmartBugs: A Framework to Analyze Solidity Smart Contracts,ASE
Denial of service,SmartBugs: A Framework to Analyze Solidity Smart Contracts,ASE
Front running,SmartBugs: A Framework to Analyze Solidity Smart Contracts,ASE
Reentrancy,SmartBugs: A Framework to Analyze Solidity Smart Contracts,ASE
Short addresses,SmartBugs: A Framework to Analyze Solidity Smart Contracts,ASE
Time manipulation,SmartBugs: A Framework to Analyze Solidity Smart Contracts,ASE
Unchecked low level calls,Finding Ethereum Smart Contracts Security Issues by Comparing History Versions,ASE
Unmatched ERC20 Contract,Finding Ethereum Smart Contracts Security Issues by Comparing History Versions,ASE
Limits of Permission,Finding Ethereum Smart Contracts Security Issues by Comparing History Versions,ASE
Unchecked External Call,Finding Ethereum Smart Contracts Security Issues by Comparing History Versions,ASE
Nested Call,Summary-Based Symbolic Evaluation for Smart Contracts,ASE
BatchOverflow,Summary-Based Symbolic Evaluation for Smart Contracts,ASE
Unchecked-send (Gasless-send),Summary-Based Symbolic Evaluation for Smart Contracts,ASE
Reentrancy,Cross-contract static analysis for detecting practical reentrancy vulnerabilities in smart contracts,ASE
Reentrancy,ContractFuzzer: fuzzing smart contracts for vulnerability detection,ASE
Gasless Send,ContractFuzzer: fuzzing smart contracts for vulnerability detection,ASE
Reentrancy,ContractFuzzer: fuzzing smart contracts for vulnerability detection,ASE
Timestamp Dependency,ContractFuzzer: fuzzing smart contracts for vulnerability detection,ASE
Block Number Dependency,ContractFuzzer: fuzzing smart contracts for vulnerability detection,ASE
Dangerous DelegateCall,ContractFuzzer: fuzzing smart contracts for vulnerability detection,ASE
Freezing Ether,SAILFISH: Vetting Smart Contract State-Inconsistency Bugs in Seconds,S&P
State-Inconsistency,SGUARD: Towards Fixing Vulnerable Smart Contracts Automatically,S&P
overflow,SGUARD: Towards Fixing Vulnerable Smart Contracts Automatically,S&P
Reentrancy,SmartPulse: Automated Checking of Temporal Properties in Smart Contracts,S&P
Reentrancy,SmartPulse: Automated Checking of Temporal Properties in Smart Contracts,S&P
Unprotected Function,SmartPulse: Automated Checking of Temporal Properties in Smart Contracts,S&P
Integer Overflow,SmartPulse: Automated Checking of Temporal Properties in Smart Contracts,S&P
Integer Underflow,SmartPulse: Automated Checking of Temporal Properties in Smart Contracts,S&P
Gas DOS,SmartPulse: Automated Checking of Temporal Properties in Smart Contracts,S&P
Revert DOS,SmartPulse: Automated Checking of Temporal Properties in Smart Contracts,S&P
Push DOS,SmartPulse: Automated Checking of Temporal Properties in Smart Contracts,S&P
Unchecked Send,SmartPulse: Automated Checking of Temporal Properties in Smart Contracts,S&P
Locked Funds,Semantic Understanding of Smart Contracts: Executable Operational Semantics of Solidity,S&P
Reentrancy,Semantic Understanding of Smart Contracts: Executable Operational Semantics of Solidity,S&P
Unsafe Delegatecall,Semantic Understanding of Smart Contracts: Executable Operational Semantics of Solidity,S&P
Unhandled Exception,VERISMART: A Highly Precise Safety Verifier for Ethereum Smart Contracts,S&P
Arithmetic Over/underflow,VERISMART: A Highly Precise Safety Verifier for Ethereum Smart Contracts,S&P
Bad Randomness,VERISMART: A Highly Precise Safety Verifier for Ethereum Smart Contracts,S&P
Access Control,VERISMART: A Highly Precise Safety Verifier for Ethereum Smart Contracts,S&P
Unsafe Input Dependency,VerX: Safety Verification of Smart Contracts,S&P
external callback,Aroc: An Automatic Repair Framework for On-Chain Smart Contracts,TSE
reentrancy,Aroc: An Automatic Repair Framework for On-Chain Smart Contracts,TSE
arithmetic bugs,Aroc: An Automatic Repair Framework for On-Chain Smart Contracts,TSE
